classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.67,0.6009817671809257,0.44067796610169496,0.6009817671809258,0.4642857142857143,0.41935483870967744
Linear SVM,0.64,0.47265077138849926,0.052631578947368425,0.4726507713884993,0.14285714285714285,0.03225806451612903
RBF SVM,0.69,0.5621785881252922,0.3111111111111111,0.5621785881252922,0.5,0.22580645161290322
Gaussian Process,0.67,0.5476858345021037,0.2978723404255319,0.5476858345021037,0.4375,0.22580645161290322
Decision Tree,0.66,0.5582047685834503,0.34615384615384615,0.5582047685834501,0.42857142857142855,0.2903225806451613
Random Forest,0.72,0.5750350631136045,0.30000000000000004,0.5750350631136045,0.6666666666666666,0.1935483870967742
Neural Net,0.65,0.5331930808789154,0.2857142857142857,0.5331930808789154,0.3888888888888889,0.22580645161290322
AdaBoost,0.61,0.45091164095371666,0.04878048780487805,0.45091164095371666,0.1,0.03225806451612903
Naive Bayes,0.3,0.4749883122954651,0.453125,0.4749883122954651,0.29896907216494845,0.9354838709677419
QDA,0.67,0.4855072463768116,0.0,0.4855072463768116,0.0,0.0
