classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.9443155452436195,0.49634146341463414,0.0,0.49634146341463414,0.0,0.0
Linear SVM,0.951276102088167,0.5,0.0,0.5,0.0,0.0
RBF SVM,0.951276102088167,0.5,0.0,0.5,0.0,0.0
Gaussian Process,0.9489559164733179,0.49878048780487805,0.0,0.49878048780487805,0.0,0.0
Decision Tree,0.9071925754060325,0.4994192799070848,0.047619047619047616,0.4994192799070848,0.047619047619047616,0.047619047619047616
Random Forest,0.9489559164733179,0.49878048780487805,0.0,0.49878048780487805,0.0,0.0
Neural Net,0.951276102088167,0.5,0.0,0.5,0.0,0.0
AdaBoost,0.951276102088167,0.5,0.0,0.5,0.0,0.0
Naive Bayes,0.951276102088167,0.5,0.0,0.5,0.0,0.0
QDA,0.951276102088167,0.5,0.0,0.5,0.0,0.0
Logistic Regression,0.951276102088167,0.5,0.0,0.5,0.0,0.0
Ridge Classifier,0.951276102088167,0.5,0.0,0.5,0.0,0.0
